Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link
2.6,equivalence_classes,A,M,Adds equivalence_classes to public API.,#4183,"The equivalence classes, or blocks, consist of objects from iterable which are all equivalent. They are defined to be equivalent if the relation function returns True when passed any two objects from that class, and False otherwise. To define an equivalence relation the function must be reflexive, symmetric and transitive.",https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.minors.equivalence_classes.html
2.6,dedensify,A,M,Adds dedensification function in a new summarization module.,#4240,Reduces the number of edges to high-degree nodes by adding compressor nodes that summarize multiple edges of the same type to high-degree nodes (nodes with a degree greater than a given threshold). Dedensification also has the added benefit of reducing the number of edges around high-degree nodes. The implementation currently supports graphs with a single edge type.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.summarization.dedensify.html
2.6,forest_str,A,M,Adds forest_str for string representation of trees.,#4294,Creates a nice utf8 representation of a directed forest,https://pydocs.github.io/p/networkx/2.8.2/api/networkx.readwrite.text.forest_str
2.6,has_eulerian_path,P,M,New source argument to has_eulerian_path to look for path starting at source.,#4317,"Return True iff G has an Eulerian path.An Eulerian path is a path in a graph which uses each edge of a graph exactly once. If source is specified, then this function checks whether an Eulerian path that starts at node source exists.",https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.euler.has_eulerian_path.html
2.6,info,F,M,nx.info is more concise.,-,,-
2.6,transitivity,F,M,Improve performance of transitivity,-,,-
2.6,triadic_census,P,M,Adds nodelist argument to triadic_census,#4361,"Determines the triadic census of a directed graph. The triadic census is a count of how many of the 16 possible types of triads are present in a directed graph. If a list of nodes is passed, then only those triads are taken into account which have elements of nodelist in them.",https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.triads.triadic_census.html
2.6,group_betweenness_centrality,F,M,Improve group_betweenness_centrality,-,-,-
2.6,harmonic_centrality,P,M,Add sources parameter to allow computing harmonic_centrality from a subset of nodes.,#4446,Compute harmonic centrality for nodes.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.centrality.harmonic_centrality.html
2.6,snap_aggregation,A,M,Adds the snap summarization algorithm,#4463,Creates a summary graph based on attributes and connectivity.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.summarization.snap_aggregation.html
2.6,diameter,A,M,Adds the diameter function for approximating the lower bound on the diameter of a graph.,#4476,Returns the diameter of the graph G. The diameter is the maximum eccentricity.,https://networkx.org/documentation/stable/reference/algorithms/generated/networkx.algorithms.distance_measures.diameter.html
2.6,edge_boundary,F,M,Improved performance of edge_boundary,-,-,-
