Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),cve will be best (CWE category),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-4,gpt-3.5-turbo GC,ChatGPT-4 GC
1.3.3,,,,,,,,,,,,
1.4.0,Styler.apply_index(),A,,,"Styling and formatting of indexes has been added, with Styler.apply_index(), Styler.applymap_index() and Styler.format_index(). These mirror the signature of the methods already used to style and format data values, and work with both HTML, LaTeX and Excel format","GH 41893, GH 43101, GH 41993, GH 41995",,,,,,
1.4.0,Styler.applymap_index(),A,,,"Styling and formatting of indexes has been added, with Styler.apply_index(), Styler.applymap_index() and Styler.format_index(). These mirror the signature of the methods already used to style and format data values, and work with both HTML, LaTeX and Excel format","GH 41893, GH 43101, GH 41993, GH 41995",,,,,,
1.4.0,Styler.format_index(),A,,,"Styling and formatting of indexes has been added, with Styler.apply_index(), Styler.applymap_index() and Styler.format_index(). These mirror the signature of the methods already used to style and format data values, and work with both HTML, LaTeX and Excel format","GH 41893, GH 43101, GH 41993, GH 41995",,,,,,
1.4.0,Styler.hide_index,D,,,The new method Styler.hide() deprecates Styler.hide_index() and Styler.hide_columns(),"GH 25475, GH 43404, GH 43346","Hide the entire index, or specific keys in the index from rendering.",https://pandas.pydata.org/pandas-docs/version/1.5/reference/api/pandas.io.formats.style.Styler.hide_index.html,5/10,,,1/10
1.4.0,Styler.hide_columns,D,,,The new method Styler.hide() deprecates Styler.hide_index() and Styler.hide_columns() ,"GH 25475, GH 43404, GH 43346",Hide the column headers or specific keys in the columns from rendering.,https://pandas.pydata.org/pandas-docs/version/1.3/reference/api/pandas.io.formats.style.Styler.hide_columns.html,1/10,,,0/10
1.4.0,Styler.hide,P,,,The keyword arguments level and names have been added to Styler.hide(),"GH 25475, GH 43404, GH 43346","Hide the entire index / column headers, or specific rows / columns from display.",https://pandas.pydata.org/docs/whatsnew/v1.4.0.html,3/9,,,1/10
1.4.0,Styler.to_html,P,,,"Styler.to_html() introduces keyword arguments sparse_index, sparse_columns, bold_headers, caption, max_rows and max_columns","GH 41946, GH 43149, GH 42972","Write Styler to a file, buffer or string in HTML-CSS format.",https://pandas.pydata.org/docs/reference/api/pandas.io.formats.style.Styler.to_html.html#pandas.io.formats.style.Styler.to_html,0/10,,,1/10
1.4.0,Styler.bar,P,,,"Styler.bar() introduces additional arguments to control alignment and display (GH 26070, GH 36419), and it also validates the input arguments width and height (GH 42511)","GH 26070, GH 36419",Draw bar chart in the cell backgrounds.,https://pandas.pydata.org/docs/reference/api/pandas.io.formats.style.Styler.bar.html#pandas.io.formats.style.Styler.bar,0/10,,,9/10
1.4.0,Styler.to_latex,P,,,"Styler.to_latex() introduces keyword argument environment, which also allows a specific “longtable” entry through a separate jinja2 template",GH 41866,"Write Styler to a file, buffer or string in LaTeX format.",https://pandas.pydata.org/docs/whatsnew/v1.4.0.html,1/6,,,10/10
