Version,Function Name,Modification Type (Add/Deprecated/Param/Return/Fix),Reason (PerforMance/S-Bug/NS-Bug),Modification Discription,Related Issue,Function Description,Function Link,coplitot GC,gpt-4,gpt-3.5-turbo GC,ChatGPT-4 GC,,,,
1.7,torch.fft,A,,"FFT-related functionality is commonly used in a variety of scientific fields like signal processing. While PyTorch has historically supported a few FFT-related functions, the 1.7 release adds a new torch.fft module that implements FFT-related functions with the same API as NumPy.

This new module must be imported to be used in the 1.7 release, since its name conflicts with the historic (and now deprecated) torch.fft function.
",,Discrete Fourier transforms and related functions.,https://pytorch.org/docs/stable/fft.html,,,,,,,,
1.9,torch.divide,R,,torch.divide with rounding_mode='floor' now returns infinity when a non-zero number is divided by zero,,Divides each element of the input input by the corresponding element of other.,https://pytorch.org/docs/stable/generated/torch.divide.html,0/10,,,0/10,,,10,10
1.9.1,torch.mm,F,M,fix mm not correctly report TORCH_CHECK failure issue,#61394,Performs a matrix multiplication of the matrices input and mat2.,https://pytorch.org/docs/stable/generated/torch.mm.html,,,,,,,,
1.10.0,Tensor.detach_,R,,In-place detach (detach_) now errors for views that return multiple outputs,#58285,"Detaches the Tensor from the graph that created it, making it a leaf. Views cannot be detached in-place.",https://pytorch.org/docs/stable/generated/torch.Tensor.detach_.html#torch.Tensor.detach_,0/7,,,0/10,,,10,10
1.10.0,torch.autograd.gradcheck,P,,Optional arguments to autograd.gradcheck and autograd.gradgradcheck are now kwarg-only,#65290,Check gradients computed via small finite differences against analytical gradients wrt tensors in inputs that are of floating point or complex type and with requires_grad=True.,https://pytorch.org/docs/stable/generated/torch.autograd.gradcheck.html,4/9,,,8/8,,,8,8
1.10.0,torch.autograd.gradgradcheck,P,,Optional arguments to autograd.gradcheck and autograd.gradgradcheck are now kwarg-only,#65290,Check gradients of gradients computed via small finite differences against analytical gradients wrt tensors in inputs and grad_outputs that are of floating point or complex type and with requires_grad=True.,https://pytorch.org/docs/stable/generated/torch.autograd.gradgradcheck.html,,,,9/9,,,9,9
1.10.0,torch.autograd.grad,R,,Raise error when inputs to autograd.grad are empty,#52016,Computes and returns the sum of gradients of outputs with respect to the inputs.,https://pytorch.org/docs/stable/generated/torch.autograd.grad.html,7/10,,,10/10,,,10,10
1.10.0,torch.tensorgrad,R,,Raise TypeError instead of RuntimeError when assigning to a Tensor’s grad field with wrong type,#64876,,https://pytorch.org/docs/stable/generated/torch.Tensor.grad.html,,,,,,,,
,,,,,,,,,,,,,,,
1.10.0,tensor.numpy,,,tensor.numpy() now throws RuntimeError when called on a tensor with conjugate or negative bit set,#61925,"Returns the tensor as a NumPy ndarray.

",https://pytorch.org/docs/stable/generated/torch.Tensor.numpy.html,,,,,,,,
